datetime,voltage,battery_temp,battery_soc
2023-04-23 02:40:14.982725,8120.000000000001,0.0,91.17,
2023-04-23 02:47:15.016886,8106.666666666665,-2.0,85.29,
2023-04-23 02:48:15.076309,8106.666666666665,-3.0,85.29,
2023-04-23 03:20:15.191551,8146.666666666666,-7.0,85.29,
2023-04-23 03:22:15.158650,8146.666666666666,-7.0,85.29,
2023-04-23 03:24:15.163462,8146.666666666666,-7.0,85.29,
2023-04-23 03:25:15.123227,8146.666666666666,-6.0,85.29,
2023-04-23 03:26:15.145499,8146.666666666666,-6.0,85.29,
2023-04-23 03:27:15.147610,8160.0,-6.0,85.29,
2023-04-23 03:28:15.108726,8146.666666666666,-6.0,85.29,
2023-04-23 03:29:15.145588,8146.666666666666,-6.0,85.29,
2023-04-23 03:30:15.142073,8160.0,-5.0,85.29,
2023-04-23 03:31:15.170402,8160.0,-5.0,85.29,
2023-04-23 03:32:15.154580,8160.0,-5.0,85.29,
2023-04-23 03:33:15.165951,8160.0,-4.0,85.29,
2023-04-23 03:34:15.177487,8160.0,-4.0,85.29,
2023-04-23 03:57:15.307709,8160.0,2.0,91.17,
2023-04-23 03:58:15.271262,8160.0,2.0,91.17,
2023-04-23 03:59:15.274639,8160.0,2.0,91.17,
2023-04-23 04:00:15.365760,8133.333333333333,2.0,91.17,
2023-04-23 04:01:15.359619,8133.333333333333,2.0,91.17,
2023-04-23 04:02:15.364239,8133.333333333333,2.0,91.17,
2023-04-23 04:03:15.361778,8133.333333333333,1.0,91.17,
2023-04-23 04:04:15.357019,8133.333333333333,1.0,91.17,
2023-04-23 04:05:15.324422,8133.333333333333,1.0,91.17,
2023-04-23 04:06:15.355821,8120.000000000001,1.0,91.17,
2023-04-23 04:07:15.323367,8133.333333333333,1.0,91.17,
2023-04-23 04:08:15.356832,8120.000000000001,0.0,91.17,
2023-04-23 04:09:15.330096,8120.000000000001,0.0,91.17,
2023-04-23 04:10:15.333856,8120.000000000001,0.0,91.17,
2023-04-23 04:11:15.335318,8120.000000000001,0.0,91.17,
2023-04-23 05:03:15.528193,8146.666666666666,-6.0,85.29,
2023-04-23 05:04:15.476110,8160.0,-6.0,85.29,
2023-04-23 05:05:15.494168,8160.0,-6.0,85.29,
2023-04-23 05:06:15.479389,8160.0,-5.0,85.29,
2023-04-23 05:08:15.513182,8160.0,-4.0,85.29,
2023-04-23 05:16:15.541220,8160.0,-3.0,85.29,
2023-04-23 05:18:15.528011,8173.333333333334,-1.0,85.29,
2023-04-23 05:19:15.492848,8360.0,-2.0,85.29,
2023-04-23 05:20:15.501806,8160.0,-2.0,85.29,
2023-04-23 05:21:15.483254,8173.333333333334,-1.0,85.29,
2023-04-23 05:22:15.544225,8173.333333333334,-1.0,85.29,
2023-04-23 05:23:15.487145,8173.333333333334,-1.0,85.29,
2023-04-23 05:33:15.585142,8160.0,1.0,91.17,
2023-04-23 05:34:15.516505,8146.666666666666,2.0,91.17,
2023-04-23 05:35:15.533383,8133.333333333333,2.0,91.17,
2023-04-23 05:36:15.534604,8133.333333333333,2.0,91.17,
2023-04-23 05:37:15.616480,8133.333333333333,2.0,91.17,
2023-04-23 05:38:15.595259,8133.333333333333,2.0,91.17,
2023-04-23 05:39:15.655224,8133.333333333333,2.0,91.17,
2023-04-23 05:40:15.618929,8120.000000000001,2.0,91.17,
2023-04-23 05:41:15.607323,8120.000000000001,1.0,91.17,
2023-04-23 05:42:15.619781,8120.000000000001,1.0,91.17,
2023-04-23 06:41:15.997250,8160.0,-5.0,85.29,
2023-04-23 06:45:16.010500,8173.333333333334,-3.0,85.29,
2023-04-23 06:46:15.984446,8160.0,-3.0,85.29,
2023-04-23 06:49:16.058559,8160.0,-3.0,85.29,
2023-04-23 06:50:16.025876,8160.0,-3.0,85.29,
2023-04-23 06:51:16.046208,8146.666666666666,-3.0,85.29,
2023-04-23 06:52:16.007600,8160.0,-2.0,85.29,
2023-04-23 06:53:16.095946,8173.333333333334,0.0,91.17,
2023-04-23 06:54:16.021671,8173.333333333334,-1.0,85.29,
2023-04-23 06:55:16.052347,8173.333333333334,-1.0,85.29,
2023-04-23 06:56:16.036151,8173.333333333334,-1.0,85.29,
2023-04-23 06:57:16.045106,8173.333333333334,-1.0,85.29,
2023-04-23 07:06:16.169356,8160.0,1.0,91.17,
2023-04-23 07:07:16.082794,8160.0,2.0,91.17,
2023-04-23 07:08:16.162627,8160.0,1.0,91.17,
2023-04-23 07:09:16.080213,8133.333333333333,2.0,91.17,
2023-04-23 07:10:16.148634,8133.333333333333,2.0,91.17,
2023-04-23 07:11:16.088614,8133.333333333333,2.0,91.17,
2023-04-23 07:12:16.080449,8133.333333333333,2.0,91.17,
2023-04-23 07:13:16.105838,8133.333333333333,1.0,91.17,
2023-04-23 07:14:16.056001,8133.333333333333,1.0,91.17,
2023-04-23 07:15:16.125153,8133.333333333333,1.0,91.17,
2023-04-23 08:04:16.213891,8146.666666666666,-7.0,85.29,
2023-04-23 08:18:16.263777,8160.0,-4.0,85.29,
2023-04-23 08:19:16.226078,8160.0,-2.0,85.29,
2023-04-23 08:20:16.377985,8346.666666666668,-1.0,85.29,
2023-04-23 08:21:16.247889,8160.0,-2.0,85.29,
2023-04-23 08:22:16.412959,8173.333333333334,-3.0,85.29,
2023-04-23 08:23:16.270835,8160.0,-2.0,85.29,
2023-04-23 08:24:16.337676,8160.0,-2.0,85.29,
2023-04-23 08:25:16.292836,8160.0,-2.0,85.29,
2023-04-23 08:26:16.300244,8160.0,-2.0,85.29,
2023-04-23 08:27:16.309258,8160.0,-2.0,85.29,
2023-04-23 08:28:16.277395,8160.0,-1.0,85.29,
2023-04-23 08:29:16.241993,8160.0,-1.0,85.29,
2023-04-23 08:30:16.247536,8173.333333333334,0.0,91.17,
2023-04-23 08:31:16.271147,8173.333333333334,-1.0,85.29,
2023-04-23 08:41:16.326192,8173.333333333334,2.0,91.17,
2023-04-23 08:42:16.292786,8160.0,2.0,91.17,
2023-04-23 08:50:16.299403,8133.333333333333,2.0,91.17,
2023-04-23 08:51:16.279511,8120.000000000001,2.0,91.17,
2023-04-23 08:52:16.283316,8120.000000000001,1.0,91.17,
2023-04-23 08:53:16.278528,8120.000000000001,1.0,91.17,
2023-04-23 08:54:16.307331,8120.000000000001,1.0,91.17,
2023-04-23 08:55:16.270652,8120.000000000001,1.0,91.17,
2023-04-23 08:57:16.317090,8120.000000000001,0.0,91.17,
2023-04-23 09:52:16.578125,8160.0,-3.0,85.29,
2023-04-23 09:53:16.455327,8160.0,-1.0,85.29,
2023-04-23 09:54:16.470871,8173.333333333334,-2.0,85.29,
2023-04-23 09:55:16.539055,8173.333333333334,-2.0,85.29,
2023-04-23 09:56:16.495385,8173.333333333334,-1.0,85.29,
2023-04-23 09:57:16.632915,8173.333333333334,-1.0,85.29,
2023-04-23 09:58:16.617440,8160.0,-1.0,85.29,
2023-04-23 09:59:16.573983,8173.333333333334,-1.0,85.29,
2023-04-23 10:00:16.552672,8173.333333333334,-1.0,85.29,
2023-04-23 10:01:16.686472,8173.333333333334,-1.0,85.29,
2023-04-23 10:02:16.515143,8173.333333333334,-1.0,85.29,
2023-04-23 10:03:16.495912,8160.0,-1.0,85.29,
2023-04-23 10:04:16.483955,8173.333333333334,1.0,91.17,
2023-04-23 10:05:16.486095,8173.333333333334,1.0,91.17,
2023-04-23 10:24:16.554889,8133.333333333333,3.0,91.17,
2023-04-23 10:27:16.600646,8133.333333333333,2.0,91.17,
2023-04-23 10:41:16.695741,8106.666666666665,-2.0,85.29,
2023-04-23 10:42:16.755323,8106.666666666665,-2.0,85.29,
2023-04-23 10:43:16.664257,8106.666666666665,-3.0,85.29,
2023-04-23 10:45:16.688375,8106.666666666665,-4.0,85.29,
2023-04-23 11:23:16.848476,8146.666666666666,-5.0,85.29,
2023-04-23 11:24:16.818415,8160.0,-4.0,85.29,
2023-04-23 11:25:16.863395,8146.666666666666,-4.0,85.29,
2023-04-23 11:26:16.813184,8160.0,-4.0,85.29,
2023-04-23 11:27:16.818741,8160.0,-4.0,85.29,
2023-04-23 11:28:16.836916,8160.0,-4.0,85.29,
2023-04-23 11:29:16.889351,8160.0,-3.0,85.29,
2023-04-23 11:30:16.922303,8173.333333333334,-2.0,85.29,
2023-04-23 11:31:16.831981,8173.333333333334,-1.0,85.29,
2023-04-23 11:33:16.902884,8173.333333333334,0.0,91.17,
2023-04-23 11:35:16.886143,8160.0,-1.0,85.29,
2023-04-23 12:13:17.405085,8106.666666666665,-2.0,85.29,
2023-04-23 12:14:17.298211,8106.666666666665,-2.0,85.29,
2023-04-23 12:15:17.289311,8106.666666666665,-3.0,85.29,
2023-04-23 12:16:17.286112,8106.666666666665,-3.0,85.29,
2023-04-23 12:17:17.316305,8106.666666666665,-4.0,85.29,
2023-04-23 12:19:17.359521,8106.666666666665,-4.0,85.29,
2023-04-23 12:20:17.425060,8106.666666666665,-4.0,85.29,
2023-04-23 12:46:03.326438,8146.666666666666,-7.0,85.29,
2023-04-23 12:47:03.275830,8146.666666666666,-7.0,85.29,
2023-04-23 13:30:04.445831,8133.333333333333,2.0,91.17,
2023-04-23 13:31:03.461362,8133.333333333333,2.0,91.17,
2023-04-23 13:32:03.563144,8120.000000000001,2.0,91.17,
2023-04-23 13:33:03.456038,8133.333333333333,2.0,91.17,
2023-04-23 13:34:03.472521,8120.000000000001,1.0,91.17,
2023-04-23 13:35:03.757680,8133.333333333333,1.0,91.17,
2023-04-23 13:37:03.492328,8120.000000000001,1.0,91.17,
2023-04-23 13:50:04.093824,8106.666666666665,-3.0,85.29,
2023-04-23 13:51:03.893824,8106.666666666665,-3.0,85.29,
2023-04-23 13:53:03.832491,8106.666666666665,-4.0,85.29,
2023-04-23 14:19:03.909993,8146.666666666666,-8.0,85.29,
2023-04-23 14:21:03.912769,8146.666666666666,-7.0,85.29,
2023-04-23 14:22:03.897979,8146.666666666666,-7.0,85.29,
2023-04-23 14:23:03.918879,8160.0,-7.0,85.29,
2023-04-23 14:24:03.895000,8160.0,-7.0,85.29,
2023-04-23 14:25:03.925761,8160.0,-6.0,85.29,
2023-04-23 14:26:03.908348,8160.0,-6.0,85.29,
2023-04-23 14:27:03.908051,8160.0,-6.0,85.29,
2023-04-23 14:31:03.937607,8346.666666666668,-5.0,85.29,
2023-04-23 14:33:03.929997,8160.0,-4.0,85.29,
2023-04-23 14:34:03.996853,8160.0,-4.0,85.29,
2023-04-23 14:35:03.927895,8160.0,-4.0,85.29,
2023-04-23 14:36:03.936027,8160.0,-4.0,85.29,
2023-04-23 14:37:03.950198,8160.0,-4.0,85.29,
2023-04-23 14:38:05.225108,8160.0,-4.0,85.29,
2023-04-23 14:39:05.211451,8160.0,-4.0,85.29,
2023-04-23 14:40:05.313429,8346.666666666668,-3.0,85.29,
2023-04-23 14:41:05.209054,8360.0,-3.0,85.29,
2023-04-23 14:42:05.320752,8173.333333333334,-3.0,85.29,
2023-04-23 14:43:05.260570,8360.0,-3.0,85.29,
2023-04-23 14:45:05.236123,8360.0,-2.0,85.29,
2023-04-23 15:05:05.425476,8133.333333333333,3.0,91.17,
2023-04-23 15:06:05.377619,8133.333333333333,2.0,91.17,
2023-04-23 15:08:05.395277,8133.333333333333,2.0,91.17,
2023-04-23 15:09:05.471147,8133.333333333333,2.0,91.17,
2023-04-23 15:11:05.471991,8120.000000000001,2.0,91.17,
2023-04-23 15:12:05.388184,8120.000000000001,1.0,91.17,
2023-04-23 15:17:05.558179,8120.000000000001,0.0,91.17,
2023-04-23 15:18:05.498901,8120.000000000001,0.0,91.17,
2023-04-23 15:19:05.555541,8120.000000000001,-1.0,85.29,
2023-04-23 15:20:05.573586,8120.000000000001,-1.0,85.29,
2023-04-23 15:53:05.997770,8146.666666666666,-7.0,85.29,
2023-04-23 15:54:06.081684,8146.666666666666,-7.0,85.29,
2023-04-23 16:05:06.024367,8160.0,-4.0,85.29,
2023-04-23 16:07:06.012915,8146.666666666666,-4.0,85.29,
2023-04-23 16:08:06.023113,8146.666666666666,-4.0,85.29,
2023-04-23 16:09:06.036208,8160.0,-2.0,85.29,
2023-04-23 16:10:06.047268,8160.0,-2.0,85.29,
